"","time","fault"
"1",31,0
"2",30,0
"3",31,0
"4",31,0
"5",30,0
"6",31,0
"7",30,0
"8",31,2
"9",31,0
"10",28,1
"11",31,0
"12",30,0
"13",31,0
"14",30,0
"15",31,0
"16",31,1
"17",30,1
"18",31,3
"19",30,8
"20",31,6
"21",31,12
"22",28,6
"23",31,9
"24",30,11
"25",31,10
"26",30,13
"27",31,7
"28",31,7
"29",30,6
"30",31,6
"31",30,9
"32",31,2
"33",31,8
"34",28,7
"35",31,5
"36",30,7
"37",31,10
"38",30,4
"39",31,5
"40",31,5
"41",30,2
"42",31,3
"43",30,1
"44",31,3
"45",31,4
"46",29,1
"47",31,6
"48",30,2
"49",31,3
"50",30,5
"51",31,1
"52",31,5
"53",30,4
"54",31,3
"55",30,4
"56",31,2
"57",31,1
"58",28,1
"59",31,3
"60",30,5
"61",31,2
"62",30,0
"63",31,3
"64",31,1
"65",30,1
"66",31,8
"67",30,1
"68",31,0
"69",31,2
"70",28,1
"71",31,3
"72",30,1
"73",31,0
"74",30,1
"75",31,0
"76",31,1
"77",30,2
"78",31,1
"79",30,1
"80",31,1
"81",31,2
"82",28,1
"83",31,0
"84",30,1
"85",31,0
"86",30,0
"87",31,2
"88",31,1
"89",30,0
"90",31,0
"91",30,0
"92",31,1
"93",31,0
"94",29,1
"95",31,0
"96",30,1
"97",31,0
"98",30,0
"99",31,2
"100",31,0
"101",30,0
"102",31,0
"103",30,0
"104",31,0
"105",31,0
"106",28,0
"107",31,0
"108",30,0
