"","time","fault"
"1",31,0
"2",30,0
"3",31,0
"4",31,1
"5",30,0
"6",31,0
"7",30,0
"8",31,0
"9",31,0
"10",28,0
"11",31,0
"12",30,0
"13",31,0
"14",30,2
"15",31,0
"16",31,1
"17",30,0
"18",31,4
"19",30,2
"20",31,2
"21",31,4
"22",28,2
"23",31,1
"24",30,1
"25",31,3
"26",30,1
"27",31,3
"28",31,3
"29",30,3
"30",31,1
"31",30,2
"32",31,4
"33",31,0
"34",28,3
"35",31,1
"36",30,3
"37",31,7
"38",30,1
"39",31,1
"40",31,0
"41",30,0
"42",31,1
"43",30,2
"44",31,1
"45",31,0
"46",29,1
"47",31,0
"48",30,2
"49",31,0
"50",30,0
"51",31,0
"52",31,1
"53",30,0
"54",31,1
"55",30,1
"56",31,1
"57",31,0
"58",28,0
"59",31,1
"60",30,0
"61",31,0
"62",30,0
"63",31,0
"64",31,0
"65",30,2
"66",31,0
"67",30,1
"68",31,0
"69",31,0
"70",28,0
"71",31,0
"72",30,0
"73",31,1
"74",30,0
"75",31,0
"76",31,0
"77",30,1
"78",31,0
"79",30,0
"80",31,0
"81",31,0
"82",28,0
"83",31,0
"84",30,0
"85",31,0
"86",30,0
"87",31,0
"88",31,0
"89",30,0
"90",31,0
"91",30,0
"92",31,1
"93",31,0
"94",29,0
"95",31,0
"96",30,0
"97",31,0
"98",30,0
"99",31,0
"100",31,0
"101",30,0
"102",31,0
"103",30,0
"104",31,0
"105",31,0
"106",28,0
"107",31,0
"108",30,0
