"","time","fault"
"1",31,1
"2",30,0
"3",31,0
"4",31,0
"5",30,0
"6",31,0
"7",30,1
"8",31,0
"9",31,0
"10",28,0
"11",31,0
"12",30,0
"13",31,0
"14",30,0
"15",31,0
"16",31,1
"17",30,1
"18",31,3
"19",30,2
"20",31,0
"21",31,3
"22",28,2
"23",31,4
"24",30,2
"25",31,4
"26",30,0
"27",31,1
"28",31,2
"29",30,3
"30",31,4
"31",30,1
"32",31,0
"33",31,2
"34",28,0
"35",31,1
"36",30,2
"37",31,1
"38",30,0
"39",31,4
"40",31,2
"41",30,0
"42",31,0
"43",30,0
"44",31,0
"45",31,0
"46",29,1
"47",31,1
"48",30,1
"49",31,0
"50",30,0
"51",31,0
"52",31,0
"53",30,0
"54",31,0
"55",30,1
"56",31,0
"57",31,0
"58",28,0
"59",31,0
"60",30,1
"61",31,0
"62",30,0
"63",31,0
"64",31,1
"65",30,0
"66",31,0
"67",30,0
"68",31,1
"69",31,1
"70",28,4
"71",31,0
"72",30,1
"73",31,0
"74",30,1
"75",31,0
"76",31,2
"77",30,0
"78",31,0
"79",30,0
"80",31,0
"81",31,0
"82",28,0
"83",31,0
"84",30,0
"85",31,0
"86",30,0
"87",31,0
"88",31,0
"89",30,0
"90",31,0
"91",30,1
"92",31,0
"93",31,0
"94",29,0
"95",31,0
"96",30,1
"97",31,0
"98",30,0
"99",31,0
"100",31,0
"101",30,0
"102",31,0
"103",30,0
"104",31,0
"105",31,0
"106",28,0
"107",31,0
"108",30,0
